# Données de capteur simulées - Température (°C)
# Format: timestamp,temperature,humidity,location
# Fichier: sensor_data.txt

1733400000,21.52,40.9,SERRE_A
1733400300,23.88,58.0,SERVEUR_RACK1
1733400600,23.05,66.8,MAISON_SALON
1733400900,24.09,40.3,SERRE_B
1733401200,20.91,60.5,SERRE_A
1733401500,21.76,53.5,SERVEUR_RACK1
1733401800,21.25,56.1,MAISON_SALON
1733402100,24.51,47.9,SERRE_B
1733402400,20.71,49.7,SERRE_A
1733402700,21.53,56.1,SERVEUR_RACK1
1733403000,22.56,41.4,MAISON_SALON
1733403300,21.86,67.2,SERRE_B
1733403600,24.41,65.6,SERRE_A
1733403900,21.63,49.2,SERVEUR_RACK1
1733404200,24.08,41.6,MAISON_SALON
1733404500,36.86,44.2,SERRE_B
1733404800,34.64,51.9,SERRE_A
1733405100,32.45,59.5,SERVEUR_RACK1
1733405400,25.35,45.1,MAISON_SALON
1733405700,25.51,44.4,SERRE_B
1733406000,20.05,67.6,SERRE_A
1733406300,23.81,65.8,SERVEUR_RACK1
1733406600,21.56,62.4,MAISON_SALON
1733406900,24.41,66.7,SERRE_B
1733407200,21.78,57.0,SERRE_A
1733407500,20.26,65.1,SERVEUR_RACK1
1733407800,24.40,67.0,MAISON_SALON
1733408100,24.62,56.9,SERRE_B
1733408400,20.59,54.9,SERRE_A
1733408700,24.60,66.5,SERVEUR_RACK1
1733409000,12.29,57.4,MAISON_SALON
1733409300,14.13,41.0,SERRE_B
1733409600,23.92,46.7,SERRE_A
1733409900,24.51,50.5,SERVEUR_RACK1
1733410200,25.94,62.6,MAISON_SALON
1733410500,22.92,55.6,SERRE_B
1733410800,22.25,41.5,SERRE_A
1733411100,23.43,60.3,SERVEUR_RACK1
1733411400,24.62,68.7,MAISON_SALON
1733411700,21.03,51.1,SERRE_B
1733412000,20.68,52.0,SERRE_A
1733412300,20.22,54.1,SERVEUR_RACK1
1733412600,21.21,53.3,MAISON_SALON
1733412900,20.08,47.3,SERRE_B
1733413200,23.03,54.3,SERRE_A
1733413500,37.90,52.0,SERVEUR_RACK1
1733413800,37.41,62.9,MAISON_SALON
1733414100,30.79,51.8,SERRE_B
1733414400,37.49,51.6,SERRE_A
1733414700,23.28,50.1,SERVEUR_RACK1
1733415000,21.82,52.9,MAISON_SALON
1733415300,24.04,53.1,SERRE_B
1733415600,22.99,40.4,SERRE_A
1733415900,23.05,56.9,SERVEUR_RACK1
1733416200,22.16,61.3,MAISON_SALON
1733416500,20.96,51.0,SERRE_B
1733416800,24.47,50.2,SERRE_A
1733417100,24.62,54.7,SERVEUR_RACK1
1733417400,21.52,45.8,MAISON_SALON
1733417700,21.59,59.1,SERRE_B
1733418000,11.95,48.7,SERRE_A
1733418300,10.44,59.0,SERVEUR_RACK1
1733418600,24.11,68.2,MAISON_SALON
1733418900,24.46,69.7,SERRE_B
1733419200,24.83,51.4,SERRE_A
1733419500,24.19,52.2,SERVEUR_RACK1
1733419800,21.56,42.5,MAISON_SALON
1733420100,24.38,50.0,SERRE_B
1733420400,20.59,42.9,SERRE_A
1733420700,22.48,53.8,SERVEUR_RACK1
1733421000,21.21,52.8,MAISON_SALON
1733421300,25.20,47.1,SERRE_B
1733421600,20.24,56.6,SERRE_A
1733421900,22.33,66.7,SERVEUR_RACK1
1733422200,22.35,50.0,MAISON_SALON
1733422500,35.31,44.2,SERRE_B
1733422800,30.25,66.8,SERRE_A
1733423100,25.82,47.4,SERVEUR_RACK1
1733423400,21.38,63.2,MAISON_SALON
1733423700,20.45,69.8,SERRE_B
1733424000,22.69,55.5,SERRE_A
1733424300,22.31,60.3,SERVEUR_RACK1
1733424600,21.80,50.8,MAISON_SALON
1733424900,23.50,62.7,SERRE_B
1733425200,22.89,40.6,SERRE_A
1733425500,20.94,48.4,SERVEUR_RACK1
1733425800,23.08,69.3,MAISON_SALON
1733426100,23.19,55.6,SERRE_B
1733426400,21.78,61.6,SERRE_A
1733426700,25.55,65.3,SERVEUR_RACK1
1733427000,22.27,56.4,MAISON_SALON
1733427300,20.32,56.0,SERRE_B
1733427600,22.25,66.4,SERRE_A
1733427900,22.89,64.1,SERVEUR_RACK1
1733428200,25.11,57.3,MAISON_SALON
1733428500,24.96,55.9,SERRE_B
1733428800,23.62,46.6,SERRE_A
1733429100,23.96,59.6,SERVEUR_RACK1
1733429400,22.63,60.8,MAISON_SALON
1733429700,20.54,47.5,SERRE_B
